dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
812;Bibliography Hydrozoa;NULL;Restricted;Restrictions available at contact person
813;Historical quantitative benthos grab samples from the Southern Baltic Sea;"Rumohr, H., Historical quantitative benthos grab samples from the Southern Baltic Sea. EUROBIS, University Kiel, 10 Jun 2006, Christian-Albrechts-University Kiel; Leibniz Institute of Marine Sciences; Marine Ecology Division; Fishery Biology section, Version: 1.0, CSV-form, http://www.marbef.org/";Attribution (CC BY);
814;Historical benthic dredge samples from the southern baltic and the North Sea;"Rumohr, H., Historical benthic dredge samples from the southern baltic and the North Sea.  Christian-Albrechts-University Kiel; Leibniz Institute of Marine Sciences; Marine Ecology Division; Fishery Biology section, 11 Jun 2006, Kiel, Germany, Version: 1.0, CSV-Form, http://www.marbef.org/";Attribution (CC BY);
815;Data Publisher for Earth & Environmental Science;PANGAEA-Publishing Network for Geoscientific & Environmental Data, AWI/MARUM, doi:10.1594/pangaea;Attribution (CC BY);NULL
827;Meiobenthos and nematodes from the continental shelf of the Laptev Sea;Vanaverbeke, J. (1993). Meiobenthos and nematodes from the continental shelf of the Laptev Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
829;Nematode length/width measurements for stations 115bis and 330 in the Belgian Part of the North Sea (1999);Franco, M. (2003). Nematode length/width Trophos. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Restricted;Not freely available
830;Nematode length/width measurements for two coastal stations in the Belgian Part of the North Sea.;Vanaverbeke, J. & Steyaert, M. (1994). Length and width measurements of nematodes from coastal stations on the Belgian Continental Shelf. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);NULL
832;Length/Width and biomass of nematodes from sandbanks on the Belgian Continental Shelf;Vanaverbeke, J. (1998). Length, width and biomass measurements of nematodes from sandbanks on the Belgian Continental Shelf. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
833;<i>Posidonia oceanica</i> Survey 2005;Rosier, G. Posidonia oceanica Survey 2005. KennaEcodiving, Girona, Spain.;Attribution (CC BY);NULL
837;BEWREMABI dataset: Belgian Shipwreck - hotspots for Marine Biodiversity: Meiofauna;NULL;Attribution (CC BY);NULL
839;Meiobenthic data Manuela;Kotwicki, L. (1998). Meiobenthic data Manuela. Polish Academy of Sciences, Institute of Oceanology (IOPAS), Poland.;Attribution (CC BY);
840;ILVO data Speek project: macrobenthos on Kwintebank sand dredging area;NULL;Unknown;NULL
841;Length and width measurements of nematodes in the Ligurian Sea;Soetaert K. 1985: Length and width measurements of nematodes in the Ligurian Sea. Netherlands Institute of Ecology, Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=841;Attribution (CC BY);
842;Size Indian Nematodes;Soetaert, K. (1992). Length and width measurements of nematodes in the Indian Ocean. Netherlands Institute of Ecology, Centre for Estuarine and Marine Ecology (NIOO-CEME), the Netherlands.;Attribution (CC BY);
843;Nematode fauna of the North Sea near the Westerschelde Estuary;Bisschop, G. & Vincx, M. (1976). Nematode fauna of the North Sea near the Westerschelde Estuary. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
844;Evaluation of the meiofauna and nematode community at a TiO2 dumping site after recovery;Derong, Z. & Smol, N. (1992). Evaluation of the meiofauna and nematode community at a TiO2 dumping site after recovery. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Restricted;Not freely available
845;The meiobenthos of the Southern Bight of the North Sea;Huotong, C. & Vincx, M. (1986). The meiobenthos of the Southern Bight of the North Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
846;Nematode fauna from the bottom of the Southern North Sea;Jensen, P. & Vincx, M. (1973). Nematode fauna from the bottom of the Southern North Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
847;Study of the meiobenthos from a dumping site in the Southern Bight of the North Sea;Vandenberghe, R. & Coomans, A. (1985). Study of the meiobenthos from a dumping site in the Southern Bight of the North Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
848;A study of the nematode fauna of three estuaries in the Netherlands;Sharma, J. Vincx, M. (1980). A study of the nematode fauna of three estuaries in the Netherlands. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
849;Nematode biodiversity data from the North Sea Benthos Survey;Heip C. 1986: Nematodes from the NSBS. Netherlands Institute of Ecology, Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=849;Attribution (CC BY);
851;Containerdok West: hydraulic and sedimentological survey (1997-1998);NULL;Restricted;Restrictions available at contact person
854;Containerkaai Noord: Hydrological en sedimentological survey;NULL;Restricted;Restrictions available at contact person
855;Liefkenshoektunnel morphological survey in 1989;NULL;Restricted;Restrictions available at contact person
857;Monitoring entrance channel Zandvlietsluis - Berendrechtsluis in 1989;NULL;Unknown;NULL
858;Monitoring Program Periwinkles - intersexindex;NULL;Restricted;Restrictions available at contact person
859;Harpacticoida species and meiofauna major taxa from Hooksiel;"Rose, A. (2004). Major meiofauna taxa and Harpacticoida species from Hooksiel. Forschungsinstitut Senckenberg; Deutsches Zentrum fur Marine Biodiversitätsforschung (DZMB), Germany.";Attribution (CC BY);
861;Cefas06 - Effects of various types of disturbances on nematode communities;Schratzberger, M. (1997). Effects of various types of disturbances on nematode communities. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
863;Cefas07 - Effects of simulated deposition of dredged material on structure of nematode assemblages - the role of burial;Schratzberger, M. (1998). Effects of simulated deposition of dredged material on the structure of nematode assemblages: the role of burial. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
864;Cefas08 - Effects of simulated deposition of dredged material on structure of nematode assemblages - the role of contamination;Schratzberger, M. (1999). Effects of simulated deposition of dredged material on the structure of nematode assemblages: the role of contamination. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
865;Cefas09 - Effects of paint-derived tributyltin (TBT) on structure of estuarine nematode assemblages in experimental microcosms;Schratzberger, M. (2001). Effects of paint-derived tributyltin (TBT) on the structure of estuarine nematode assemblages in experimental microcosms. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
866;Nematodes at two abyssal sites in the NE Atlantic;Vanreusel, A. (1993). Nematodes at two abyssal sites in the Northeast Atlantic. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
867;Nematodes of the central Arctic Ocean;Vanreusel, A. (1994). Nematodes of the central Arctic Ocean. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
869;Meiobenthos and nematodes from the sediment of <i>Zostera noltii</i> seagrass;Adão, H. (1995). Meiobenthos and nematodes from the sediment of <i>Zostera noltii</i> seagrass. University of Coimbra, Institute of Marine Research (IMAR), Portugal.;Unrestricted after moratorium period;NULL
871;Beach water temperature Belgian coast;NULL;Commercially available;NULL
875;South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System;Some or all of the data described in this dataset were produced by the U.S. Environmental Protection Agency through its Environmental Monitoring and Assessment Program (EMAP), http://www.epa.gov/emap/.;Attribution (CC BY);NULL
876;Zeus 1.2 : a fish-ID-CD;NULL;Attribution (CC BY);NULL
905;Elephant Seal Sightings, Heard Island (1949 to 1960);Burton, H. and Watts, D. (2006) Elephant Seal Sightings, Heard Island (1949 to 1960), Australian Antarctic Data Centre - CAASM Metadata (http://aadc-db.aad.gov.au/KeywordSearch/Home.do?Portal=amd_au&MetadataType=0);Attribution (CC BY);NULL
906;Elephant Seal Sightings, Macquarie Island;Burton, H. (1999, updated 2006) Macquarie Island Elephant Seal Populations 1950 to 1965, Australian Antarctic Data Centre - CAASM Metadata (http://data.aad.gov.au/aadc/metadata/);Attribution (CC BY);NULL
907;Microphytobenthos of Scheldt estuary (Belgium/Netherlands);NULL;Restricted;Restrictions available at contact person
910;Demersal fish and hyperbenthic communities of the Voordelta and Western Scheldt, Belgium (EDMED);NULL;Restricted;Restrictions available at contact person
911;Mercury speciation in the Scheldt estuary and North Sea (1991-1998);NULL;Restricted;Restrictions available at contact person
912;Heavy metals in the Scheldt estuary and North Sea (1995-1999);NULL;Restricted;Restrictions available at contact person
913;Dissolved and particulate trace metals in waters of Scheldt estuary;NULL;Restricted;Restrictions available at contact person
889;ME-4a Biomonitoring of fish stocks at cooling water intake screens Doel;"Laboratory of Biodiversity and Evolutionary Genomics. KULeuven-LBEG; Estuaries. Research Institute for Nature and Forest: Belgium; (2020): ME-4a Biomonitoring of fish stocks at cooling water intake screens Doel.";CC 0 (No Rights Reserved);NULL
900;"Monitoring network freshwater fish Flanders; Eel pollutant monitoring network";NULL;Restricted;Restrictions available at contact person
901;Fish Information System (V.I.S.);"Research Group Monitoring and Restoration of Aquatic Fauna. Research Institute Nature and Forest (INBO): Belgium; (2020): Fish Information System (V.I.S.). Accessed at http://vis.inbo.be on yyyy-mm-dd.";Attribution-NonCommercial (CC BY-NC);When using standard reports: please use citation as described above.  When using data that cannot be downloaded as standard reports: contact scientist.
919;Hydrochemistry data in Rhone (S France) and Scheldt (Belgium) estuaries (1991 onwards);NULL;Restricted;Restrictions available at contact person
924;Mercury and arsenic speciation and trace metal content in fish from the Scheldt estuary and North Sea;NULL;Restricted;Restrictions available at contact person
925;Stable C isotope composition (delta13C) of DIC and POM pools in Schelde;NULL;Restricted;Restrictions available at contact person
926;Heavy metals (plus nutrients and carbon) in sediments of the Scheldt estuary (Belgium) (1991-94);NULL;Restricted;Restrictions available at contact person
927;Meiobenthos of the Southern Bight of the North Sea, Western Scheldt and also Greenland, Antarctica and the Kenyan mangroves;NULL;Restricted;Restrictions available at contact person
929;Heavy metals in the Western Scheldt, Belgium (1980-90);NULL;Restricted;Restrictions available at contact person
930;WSCHELDT - Suspended matter and chemical and physical conditions in Western Scheldt estuary, Belgium (1973-83);NULL;Restricted;Restrictions available at contact person
945;MWTL physical monitoring network Westerschelde: Water Levels;"Rijkswaterstaat Centrale Informatievoorziening: The Netherlands; (2021): MWTL physical monitoring network Westerschelde: Water Levels.";CC 0 (No Rights Reserved);NULL
947;MWTL physical monitoring network Westerschelde: Water Temperatures;NULL;Attribution (CC BY);NULL
948;MWTL biological monitoring network Westerschelde: Bacteriology;NULL;NULL;NULL
949;MWTL biological monitoring network Westerschelde: Phytoplankton;"Rijkswaterstaat Centrale Informatievoorziening: The Netherlands; (2021): MWTL biological monitoring network Westerschelde: Phytoplankton.";The data can be made available upon request, please use contact information.;NULL
950;MWTL biological monitoring network Westerschelde: Vegetation mapping tidal areas;NULL;NULL;NULL
953;MWTL biological monitoring network Westerschelde: Fish;"Institute for Marine Resources and Ecosystem Studies (IMARES); Rijkswaterstaat (RWS); (2006): MWTL biological monitoring network Westerschelde: Fish.";Attribution (CC BY);NULL
954;MWTL chemical monitoring network Westerschelde: Nutrients;"Rijkswaterstaat Centrale Informatievoorziening: The Netherlands; (2021): MWTL chemical monitoring network Westerschelde: Nutrients.";CC 0 (No Rights Reserved);NULL
955;MWTL chemical monitoring network Westerschelde: Heavy Metals;"Rijkswaterstaat Centrale Informatievoorziening: The Netherlands; (2021): MWTL chemical monitoring network Westerschelde: Heavy Metals.";CC 0 (No Rights Reserved);NULL
957;MWTL chemical monitoring network Westerschelde: Organic micro contaminant;NULL;Attribution (CC BY);NULL
935;Monitoring hydrography, water quality & contaminants for the Belgian continental shelf area and Western Scheldt;NULL;The data can be made available upon request, please use contact information.;NULL
938;<b>ME-3f.</b> Estuarine macrobenthos of the Schelde estuary (Belgium and The Netherlands) - 1988 onwards;NULL;Restricted;Restrictions available at contact person
942;MWTL physical monitoring network Westerschelde: Discharges;NULL;NULL;NULL
897;Airborne counts of water birds and marine mammals in the Voordelta en Westerschelde;NULL;NULL;NULL
970;PycnoBase: World Pycnogonida Database;"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Accessed at https://www.marinespecies.org/pycnobase on yyyy-mm-dd";Attribution (CC BY);
971;Flanders Hydraulics Research: Continuous monitoring of water levels in the Scheldt estuary;"Flanders Hydraulics Research (MOW-WL): Belgium; (2020): Flanders Hydraulics Research: Continuous monitoring of water levels in the Scheldt estuary.";CC 0 (No Rights Reserved);NULL
972;Aphroditacea checklist for ERMS 2.0;NULL;Unrestricted;NULL
973;Syllidae checklist for ERMS 2.0;"Musco, Luigi; Guillermo San Martín; Melih Çinar and Alberto Castelli (2006). Syllidae checklist for ERMS 2.0";Attribution (CC BY);
976;MANUELA Database;NULL;The data can be made available upon approval of the data provider, please contact data@vliz.be.;NULL
977;Western Baltic Sea Copepods;"Volkers, C. & George, K-H. (2002). Western Baltic Sea copepods. Forschungsinstitut Senckenberg; Deutsches Zentrum fur Marine Biodiversitätsforschung (DZMB), Germany.";Restricted;Restrictions available at contact person
980;Arctic Meiofauna Succession;"Veit-Köhler, G. & Laudien, J. (2005). Arctic meiofauna succession. Forschungsinstitut Senckenberg; Deutsches Zentrum fur Marine Biodiversitätsforschung (DZMB), Germany.";Attribution-NonCommercial (CC BY-NC);only presence data are available through EurOBIS & EMODnet under the given license. For access to additional data, the provider needs to be contacted
982;Antarctic deep-sea meiofauna;"Martínez Arbizu, P. & Veit-Köhler, G. (2002). ANDEEP-1: Antarctic deep-sea meiofauna. Forschungsinstitut Senckenberg; Deutsches Zentrum fur Marine Biodiversitätsforschung (DZMB), Germany.";Attribution (CC BY);
983;Brachiopoda Database;Emig C. C., Bitner M. A. & Álvarez F., 2021. Brachiopoda database. Accessed at http://paleopolis.es/brachiopoda_database on dd-mm-2021.;Attribution-NonCommercial-NoDerivatives (CC BY-NC-ND);
984;Systematics and Biogeography of Mangroves;Dahdouh-Guebas, Farid (2006). Systematics and Biogeography of Mangroves;Restricted;Restrictions available at contact person
962;Cetacean Sightings Survey and Southern Ocean cetacean program;NULL;Attribution (CC BY);NULL
986;Fishes in the Argentine Sea from 1967 to the present time;NULL;Attribution-NonCommercial (CC BY-NC);NULL
987;A Biotic Database of Indo-Pacific Marine Mollusks;Rosenberg et al. A Biotic Database of Indo-Pacific Marine Mollusks. Morris, P., Pennsylvania, USA. http://clade.acnatsci.org/obis/;Attribution (CC BY);NULL
989;Locations of Seals in Patagonian Large Marine Ecosystem;Proyecto Modelo del Mar (Sea and Sky Project WCS-CONICET). Wildlife Conservation Society-Centro Nacional Patagonico - Puerto Madryn, Argentina.;Unrestricted;NULL
990;Antarctic Fur Seal Populations on Heard Island Summer 1987-1988;NULL;Attribution (CC BY);NULL
991;Macrodat database 3 (Dec 2006);Section Marine Biology - MACRODAT database;Restricted;Release with permission of the appropriate parties
993;Siphonophora checklist for ERMS 2.0;NULL;Unrestricted;NULL
994;ANTXXIII-8 Birds and Mammals;NULL;Attribution (CC BY);NULL
995;Antarctic and Subantarctic Asteroid zoogeography;Salvatore Stampanato, Etude taxonomique et zoogéographique des astérides des régions antarctiques et subantarctiques, Brussels;Attribution (CC BY);NULL
997;Offshore reference stations, Norwegian/Barents Sea;The Norwegian Oil Industry Association, 2002: Offshore reference stations, Norwegian/Barents Sea. The Norwegian Oil Industry Association (OLF), Akvaplan-niva and Det Norske Veritas, Norway;Attribution-NonCommercial (CC BY-NC);NULL
998;Offshore reference stations (Finnmark);The Norwegian Oil Industry Association, 2000: Offshore reference stations, Finnmark. The Norwegian Oil Industry Association (OLF), Akvaplan-niva and Det Norske Veritas, Norway;Attribution-NonCommercial (CC BY-NC);NULL
999;Offshore ref. stations, North/Norwegian sea;The Norwegian Oil Industry Association, 2001: Offshore reference stations, North/Norwegian sea.  The Norwegian Oil Industry Association (OLF), Akvaplan-niva and Det Norske Veritas, Norway;Attribution-NonCommercial (CC BY-NC);NULL
618;Kiel Bay intercalibration data set;Rumohr, H., 1995: Kiel Bay intercalibration data set. Leibniz Institute of Marine Sciences, Marine Ecology Division, Germany;Attribution (CC BY);
1000;Nematodes from the Weddell Sea;Vanhove, S. (1989). Nematodes from the Weddell Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
1002;Nematodes from the South Sandwich Trench;Vanhove, S. (2002). Nematodes from the South Sandwich Trench.  Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
1004;<b>ME-3d.</b> Benthos Westerschelde as part of Impuls Program Marine Sciences;NULL;Restricted;Restrictions available at contact person
1005;<i>Macoma Balthica</i> in the Westerschelde as part of project B-10;"Hummel H. 1997: Macoma Balthica in the Westerschelde as part of project B-10. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1005";Restricted;Restrictions available at contact person
1006;Benthos on the Biezelingse Ham as part of INTRMUD;"Hummel H. 1998: Benthos on the Biezelingse Ham as part of INTRMUD. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1006";Restricted;Restrictions available at contact person
1007;Benthos on the Plaat van Baarland (1997-1998);"Hummel H. 1998: Benthos on the Plaat van Baarland (1997-1998). Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1007";Restricted;Restrictions available at contact person
1008;Benthos on the Molenplaat as part of ECOFLAT;"Herman P. 1997: Benthos on the Molenplaat as part of ECOFLAT. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1008";Restricted;Restrictions available at contact person
1010;Benthos Molenplaat 1995;"Herman P. 1995: Benthos Molenplaat 1995. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1010";Restricted;Restrictions available at contact person
1011;Benthos on mudflats and salt marshes of Waarde;"Hummel H. 1991: Benthos on mudflats and salt marshes of Waarde. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1011";Restricted;Restrictions available at contact person
1012;Benthos Westerschelde 1965-1974;"Hummel H. 1974: Benthos Westerschelde 1965-1974. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=1012";Restricted;Restrictions available at contact person
1013;Dioxins Westerschelde;NULL;Restricted;Restrictions available at contact person
1014;CCAMLR historic KRILL;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1015;Digital Topographic files of wet infrastructures;NULL;Restricted;Restrictions available at contact person
658;Cefas01 - Structure of sublittoral nematode assemblages around the UK coast;Schratzberger, M. (1998). Structure of sublittoral meiofauna assemblages around the UK coast. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
1017;Historic krill - scientific data;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Restricted;Release with permission of the appropriate parties
